player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Anthony Kay,641743,207,1122,18.45,93.6,2390.0,22.6,0,0.0
Brandon Eisert,685126,0,289,0.0,89.9,2021.0,35.4,72,69.2
Chris Murphy,669684,271,482,56.22,93.9,2285.0,54.2,23,34.2
Davis Martin,663436,288,686,41.98,93.6,2393.0,36.9,26,142.2
Drew Thorpe,689672,243,295,82.37,89.5,2252.0,16.2,0,0.0
Erick Fedde,607200,251,1527,16.44,91.8,1974.0,21.9,32,141.0
Grant Taylor,691799,0,113,0.0,97.8,2442.0,28.5,36,36.2
Jedixson Paez,699151,0,0,0.0,90.1,2359.0,23.2,0,0.0
Jonathan Cannon,686563,26,350,7.43,92.3,2212.0,18.7,22,103.2
Jordan Hicks,663855,562,1464,38.39,98.4,2029.0,24.3,34,67.1
Jordan Leasure,673929,0,366,0.0,96.1,2336.0,38.6,68,64.1
Ky Bush,681066,183,240,76.25,91.7,2150.0,37.4,0,0.0
Mike Vasil,678024,0,183,0.0,93.6,2227.0,24.7,47,101.0
Prelander Berroa,672860,183,438,41.78,97.5,2349.0,44.9,0,0.0
Sean Burke,680732,0,204,0.0,94.5,2534.0,46.2,28,134.1
Sean Newcomb,656794,471,1577,29.87,93.1,2273.0,21.7,48,92.1
Seranthony Domínguez,622554,453,1428,31.72,97.7,2344.0,28.4,67,62.2
Shane Smith,681343,13,183,7.1,95.6,2246.0,24.9,29,146.1
Tyler Gilbert,656457,117,790,14.81,88.9,2184.0,16.4,46,51.0
Wikelman González,682790,5,103,4.85,95.2,2400.0,25.4,16,20.1
