player,mlb_id,il_days_apr_sep,active_days_apr_sep,pct_injured_apr_sep_%,fb_velo,fb_spin,breaking_%,games_2025,innings_2025
Bowden Francis,670102,190,706,26.91,92.9,2347.0,28.5,14,64.0
Braydon Fisher,680755,0,143,0.0,95.0,2271.0,70.8,52,50.0
Brendon Little,663893,0,581,0.0,93.9,2089.0,37.5,79,68.1
Chase Lee,695445,0,162,0.0,89.3,2418.0,30.0,32,37.1
Cody Ponce,664074,54,975,5.54,92.2,2365.0,26.2,0,0.0
Dylan Cease,656302,2,1188,0.17,96.6,2524.0,49.4,32,168.0
Eric Lauer,641778,181,1011,17.9,90.9,2245.0,24.0,28,104.2
Jake Bloss,814005,166,285,58.25,93.8,2439.0,41.3,0,0.0
Jeff Hoffman,656546,197,1689,11.66,94.9,2473.0,30.3,71,68.0
José Berríos,621244,4,1804,0.22,93.4,2158.0,28.2,31,166.0
Kevin Gausman,592332,137,2327,5.89,94.7,2267.0,10.4,32,193.0
Lazaro Estrada,681751,0,88,0.0,93.7,2265.0,37.7,2,7.1
Louis Varland,686973,0,573,0.0,96.3,2181.0,42.3,74,72.2
Mason Fluharty,689254,0,183,0.0,90.1,2734.0,39.6,55,52.2
Max Scherzer,453286,587,3266,17.97,93.8,2462.0,28.2,17,85.0
Shane Bieber,669456,492,1404,35.04,91.4,2317.0,41.5,7,40.1
Tommy Nance,667297,280,863,32.44,94.6,2328.0,55.1,30,31.2
Trey Yesavage,702056,0,16,0.0,94.3,2261.0,32.4,3,14.0
Tyler Rogers,643511,0,1133,0.0,82.9,1929.0,37.5,81,77.1
Yimi García,554340,737,2043,36.07,95.0,2500.0,37.9,22,21.0
